Data,ROC,AP,P@N
Arrhythmia,0.738699665764762,0.7349526320006812,0.6553398058252428
Cardiotocography,0.6620718571607149,0.41379804908205964,0.37339055793991416
HeartDisease,0.6340000000000001,0.5580492470158376,0.5333333333333333
InternetAds,0.6906323121292921,0.43764465399520336,0.42934782608695654
PageBlocks,0.9162480474475271,0.5042300614254307,0.42549019607843136
Pima,0.6563731343283581,0.4925035006924602,0.4962686567164179
SpamBase,0.5607999223467857,0.42496866205168693,0.45562835020845743
Stamps,0.8961269443574486,0.31911943045925706,0.22580645161290322
Wilt,0.5207858182208978,0.049934640751744294,0.007782101167315175
Annthyroid,0.6823623616801969,0.1391464396976849,0.16292134831460675
ALOI,0.6867129663739833,0.06570633421675925,0.10742705570291777
Glass,0.7875338753387534,0.20567533257042953,0.1111111111111111
PenDigits,0.8972786352558896,0.009669628657797889,0.0
Shuttle,0.9602307692307692,0.20209479815299397,0.15384615384615385
Waveform,0.7431827699670954,0.06761616287107303,0.07
WBC,0.9863849765258217,0.8182539682539681,0.7
WDBC,0.9442577030812325,0.6849251238957121,0.7
WPBC,0.5068338734676624,0.22935066015347091,0.1702127659574468
annthyroid,0.805041740129069,0.2644859094781083,0.32771535580524347
arrhythmia,0.7956508086041765,0.4440581686317602,0.4696969696969697
breastw,0.9795412567379095,0.9482326200589859,0.891213389121339
glass,0.6867208672086721,0.08434644058685481,0.1111111111111111
ionosphere,0.8615520282186949,0.8129391030929743,0.6666666666666666
letter,0.7806533333333334,0.15502268013164494,0.19
lympho,0.9929577464788732,0.9166666666666666,0.8333333333333334
mammography,0.8644870738526327,0.21098683290947803,0.27692307692307694
mnist,0.8390370646302849,0.3424649520294905,0.3657142857142857
musk,0.9986787434154483,0.9523893300185876,0.8969072164948454
optdigits,0.7371838399789445,0.05397935711831111,0.04666666666666667
pendigits,0.9380322785148523,0.24361361938592999,0.3525641025641026
pima,0.6625373134328358,0.48885764973779333,0.5074626865671642
satellite,0.7038570562786417,0.6690567500553521,0.5761296660117878
satimage-2,0.9949357695369706,0.9313535194622865,0.8873239436619719
speech,0.4985777275296778,0.02199047609311268,0.04918032786885246
thyroid,0.9795000394567247,0.5059501301549009,0.5268817204301075
vertebral,0.333015873015873,0.09014373073429838,0.03333333333333333
vowels,0.9025320056899004,0.2731313474516925,0.3
wbc,0.9494464452447645,0.6138370264357513,0.5238095238095238
wine,0.8478991596638655,0.2588595816788465,0.2
