Data,ROC,AP,P@N
annthyroid,0.817907,0.300306,0.335206
arrhythmia,0.800911,0.446335,0.484848
breastw,0.992131,0.983892,0.937238
glass,0.688889,0.0819419,0.111111
ionosphere,0.822187,0.77073,0.619048
letter,0.707993,0.121294,0.14
lympho,0.989437,0.9,0.833333
mammography,0.862256,0.229305,0.246154
mnist,0.752841,0.217112,0.241429
musk,1,1,1
optdigits,0.811274,0.0759572,0.0466667
pendigits,0.951442,0.271362,0.378205
pima,0.668955,0.517717,0.529851
satellite,0.720291,0.68083,0.599214
satimage-2,0.995275,0.919238,0.859155
speech,0.483405,0.0209028,0.0327869
thyroid,0.98413,0.566235,0.645161
vertebral,0.299524,0.0861707,0
vowels,0.815619,0.205471,0.28
wbc,0.951447,0.61126,0.571429
wine,0.844538,0.25961,0.3
Annthyroid,0.661623,0.133087,0.183521
Arrhythmia,0.749901,0.75201,0.645631
Cardiotocography,0.635441,0.405968,0.347639
HeartDisease,0.644833,0.575806,0.55
InternetAds,0.687813,0.502081,0.4375
PageBlocks,0.828108,0.306721,0.286275
Pima,0.644201,0.50511,0.518657
SpamBase,0.66093,0.515042,0.539011
Stamps,0.90072,0.325541,0.322581
Wilt,0.452303,0.0438542,0.0077821
ALOI,0.537556,0.033547,0.0397878
Glass,0.8,0.118393,0.111111
PenDigits,0.820882,0.00554291,0
Shuttle,0.897462,0.142554,0.0769231
Waveform,0.729925,0.0651361,0.07
WBC,0.991549,0.874008,0.7
WDBC,0.953501,0.695734,0.7
WPBC,0.51557,0.23053,0.148936
