Data,ROC,AP,P@N
annthyroid,0.833479,0.324798,0.329588
arrhythmia,0.807387,0.479531,0.469697
breastw,0.983056,0.950373,0.92887
glass,0.707317,0.105659,0.111111
ionosphere,0.930794,0.923519,0.849206
letter,0.633007,0.0893386,0.11
lympho,0.978873,0.79798,0.666667
mammography,0.868309,0.25855,0.284615
mnist,0.804948,0.269727,0.317143
musk,0.295377,0.020797,0
optdigits,0.724964,0.0503551,0.0266667
pendigits,0.953742,0.274364,0.371795
pima,0.670552,0.502781,0.522388
satellite,0.704086,0.667361,0.5722
satimage-2,0.993619,0.925118,0.873239
speech,0.477644,0.0189357,0.0327869
thyroid,0.981262,0.562503,0.612903
vertebral,0.313492,0.0877542,0
vowels,0.755533,0.138506,0.2
wbc,0.943444,0.557982,0.47619
wine,0.80084,0.211476,0.1
Annthyroid,0.698118,0.158603,0.183521
Arrhythmia,0.755988,0.762114,0.665049
Cardiotocography,0.690969,0.44028,0.396996
HeartDisease,0.598778,0.536342,0.5
InternetAds,0.615797,0.289745,0.331522
PageBlocks,0.82152,0.460829,0.454902
Pima,0.669522,0.513654,0.522388
SpamBase,0.514798,0.399994,0.411554
Stamps,0.899781,0.323687,0.225806
Wilt,0.41455,0.0411065,0
ALOI,0.69781,0.0742856,0.116711
Glass,0.8,0.210849,0.111111
PenDigits,0.804346,0.00509334,0
Shuttle,0.960385,0.299298,0.384615
Waveform,0.678675,0.0604886,0.06
WBC,0.992958,0.885897,0.7
WDBC,0.936415,0.637169,0.6
WPBC,0.512329,0.235509,0.148936
