Data,ROC,AP,P@N
annthyroid,0.827116,0.316705,0.322097
arrhythmia,0.809919,0.481253,0.484848
breastw,0.985629,0.961417,0.941423
glass,0.699729,0.104364,0.111111
ionosphere,0.93358,0.923815,0.84127
letter,0.631833,0.0888121,0.1
lympho,0.977113,0.786325,0.666667
mammography,0.875878,0.262143,0.342308
mnist,0.807185,0.274345,0.315714
musk,0.313473,0.0218149,0
optdigits,0.722394,0.0496322,0.0266667
pendigits,0.952712,0.273206,0.371795
pima,0.671903,0.503946,0.522388
satellite,0.701614,0.666032,0.571709
satimage-2,0.993776,0.926185,0.873239
speech,0.469275,0.0184507,0.0333333
thyroid,0.981338,0.569905,0.602151
vertebral,0.311746,0.0874911,0
vowels,0.763073,0.151245,0.2
wbc,0.943711,0.560525,0.52381
wine,0.807563,0.218105,0.1
Annthyroid,0.691504,0.142896,0.170412
Arrhythmia,0.755372,0.761153,0.660194
Cardiotocography,0.683271,0.434227,0.39485
HeartDisease,0.603139,0.538853,0.5
InternetAds,0.610555,0.333546,0.331522
PageBlocks,0.810394,0.445444,0.445098
Pima,0.668224,0.512452,0.522388
SpamBase,0.499548,0.395537,0.408577
Stamps,0.896284,0.317527,0.258065
Wilt,0.428663,0.0421625,0
ALOI,0.739126,0.0992786,0.143236
Glass,0.791328,0.15177,0.111111
PenDigits,0.805605,0.00509921,0
Shuttle,0.959385,0.298365,0.384615
Waveform,0.672607,0.058905,0.06
WBC,0.992958,0.885897,0.7
WDBC,0.941737,0.693853,0.7
WPBC,0.510991,0.233833,0.148936
